*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Auxiliary Board
*Date=12:21:36
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;25.6794;-59.0958;0;Bottom;Copper Fill19
2;;;2.50993;-38.2383;0;Bottom;TXT1
3;;;35.2187;-28.2368;0;Bottom;TXT1
4;;;32.1564;-44.4655;0;Bottom;Copper Fill28
5;;;64.0589;-5.42568;0;Bottom;Copper Fill51
6;;THT;36.1874;-8.11115;90;Bottom;Drive Motor RL
7;;;100.362;-20.8111;0;Bottom;Via14
8;;;60.2235;-10.4549;0;Bottom;Copper Fill88
9;;;98.4759;-35.7279;0;Bottom;Copper Fill68
10;;;39.3955;-22.9517;0;Bottom;Copper Fill81
11;;;71.5275;-5.25106;0;Bottom;TXT1
12;;THT;17.0505;-3.79302;90;Bottom;Steer Servo RL
13;;;75.4704;-40.3691;0;Bottom;Via4
14;;;36.0576;-66.37;0;Bottom;TXT1
15;;;23.5458;-78.3744;0;Bottom;Copper Fill1
16;;;67.8435;-10.4549;0;Bottom;Copper Fill89
17;;;33.3249;-37.3535;0;Bottom;Copper Fill73
18;;THT;71.8121;-57.3595;90;Bottom;Encoder GND
19;;;44.0183;-34.8135;0;Bottom;Copper Fill79
20;;;117.812;-31.8742;0;Bottom;TXT1
21;;;85.5219;-36.9725;0;Bottom;Copper Fill33
22;;THT;19.5905;-7.60302;-90;Bottom;RL Encoder 2
23;;;51.2573;-31.0797;0;Bottom;Copper Fill74
24;;;38.2525;-69.7638;0;Bottom;Copper Fill5
25;;;95.8851;-44.8972;0;Bottom;Copper Fill26
26;;;2.50993;-43.4298;0;Bottom;TXT1
27;;;36.1004;-55.609;0;Bottom;Via16
28;;;59.6139;-65.8522;0;Bottom;Copper Fill9
29;;;28.7345;-54.085;0;Bottom;Via15
30;;;101.727;-15.6619;0;Bottom;Copper Fill87
31;;;38.1;-68.4176;0;Bottom;Copper Fill57
32;;;101.727;-62.728;0;Bottom;Copper Fill54
33;;;95.6565;-51.8314;0;Bottom;Copper Fill65
34;;;12.2174;-37.455;0;Bottom;Copper Fill86
35;;THT;6.63654;-45.957;-90;Bottom;Headlights (Low Beam)
36;;;86.0045;-8.98168;0;Bottom;Copper Fill49
37;;THT;111.031;-50.188;0;Bottom;Auxiliary Power
38;;;61.5004;-20.8111;0;Bottom;Via12
39;;;41.3767;-57.5718;0;Bottom;Copper Fill14
40;;;110.836;-68.867;0;Bottom;TXT1
41;;;33.8582;-73.4976;0;Bottom;Copper Fill55
42;;THT;67.8505;-5.31702;90;Bottom;Microphone Power
43;;THT;7.14454;-24.367;0;Bottom;LED GND
44;;;110.617;-9.56588;0;Bottom;Copper Fill48
45;;;91.9227;-19.1163;0;Bottom;Copper Fill41
46;;;71.1524;-35.7971;0;Bottom;Via6
47;;buzzer-12mm-ns;7.07511;-59.3987;0;Bottom;Buzzer
48;;;32.1819;-50.9424;0;Bottom;Copper Fill25
49;;;106.643;-75.1663;0;Bottom;TXT1
50;;;48.5394;-44.8718;0;Bottom;Copper Fill15
51;;;2.03254;-77.993;0;Bottom;Hole 1
52;;;41.2243;-19.2687;0;Bottom;Copper Fill85
53;;;30.7595;-44.2877;0;Bottom;Copper Fill69
54;;;87.3507;-21.4023;0;Bottom;Copper Fill39
55;;THT;19.5905;-75.167;-90;Bottom;FL Encoder 1
56;;;76.2763;-45.4307;0;Bottom;Copper Fill67
57;;THT;6.63654;-35.797;-90;Bottom;Reverse Indicators
58;;;68.2245;-38.9029;0;Bottom;Copper Fill31
59;;;80.1371;-25.1869;0;Bottom;Copper Fill80
60;;;51.8415;-58.791;0;Bottom;Copper Fill20
61;;;105.971;-7.57262;0;Bottom;TXT1
62;;;88.236;-39.8661;90;Bottom;Motor Driver Rear
63;;;49.5047;-38.2933;0;Bottom;Copper Fill76
64;;;21.3614;-10.4295;0;Bottom;Copper Fill47
65;;;52.6035;-64.0742;0;Bottom;Copper Fill7
66;;;50.1397;-9.43888;0;Bottom;Copper Fill46
67;;;64.0335;-69.6368;0;Bottom;Copper Fill58
68;;;59.9948;-40.0204;0;Bottom;Copper Fill50
69;;;41.4275;-21.9103;0;Bottom;Copper Fill82
70;;;2.03254;-1.9931;0;Bottom;Hole 2
71;;;63.9577;-11.6352;0;Bottom;TXT1
72;;THT;102.903;-75.167;-90;Bottom;FR Encoder 1
73;;;106.019;-10.1095;0;Bottom;TXT1
74;;THT;86.0516;-73.135;-90;Bottom;Drive Motor FL
75;;;61.6655;-67.9632;0;Bottom;TXT1
76;;;60.2096;-2.58152;0;Bottom;TXT1
77;;;88.1704;-55.609;0;Bottom;Via17
78;;;53.7211;-13.6299;0;Bottom;Copper Fill45
79;;;15.7322;-7.53565;0;Bottom;TXT1
80;;;54.3307;-58.791;0;Bottom;Copper Fill21
81;;THT;104.935;-3.79302;90;Bottom;Steer Servo RR
82;;;35.4331;-58.3338;0;Bottom;Copper Fill13
83;;;85.6304;-20.8111;0;Bottom;Via13
84;;;11.8872;-42.1287;0;Bottom;Copper Fill30
85;;;11.8872;-34.5087;0;Bottom;Copper Fill35
